"state_name","race_grp","Race Categories Include Hispanic Individuals","value","value_adj","pop_share_agg","pop_weighted","pop_share_agg_adj","effective_demand"
"North Carolina","White","Yes",0.74,0.738288027761712,0.703678679158516,1189371.53907816,0.713348364542659,1.0349614080002
"North Dakota","American Indian or Alaska Native","",,,0.0374752692775238,3233.874111733,,
"North Dakota","Asian","",,,0.0116599280135965,1159.100705576,,
"North Dakota","Black","",,,0.018527960424153,1793.988235097,,
"North Dakota","Hispanic","",,,0.0227038147633963,2327.48093503,,
"North Dakota","Native Hawaiian or Other Pacific Islander","",,,0.00247282515004272,223.416109833,,
"North Dakota","White","",,,0.89398454161821,69556.588785186,,
"Ohio","American Indian or Alaska Native","Yes",,,0.00144611240283648,1525.524846697,,
"Ohio","Asian","Yes",0.02,0.0212765957446809,0.019318893775598,21284.203344918,0.0195929781325806,1.08592964278874
"Ohio","Black","Yes",0.07,0.0729463459759482,0.104403564471201,107572.860631752,0.105884776810125,0.688921941128113
"Ohio","Hispanic","Yes",0.02,0.02,0.0253167416215783,29208.732588148,0.0256759196847141,0.778939965757364
"Ohio","Native Hawaiian or Other Pacific Islander","Yes",,,0.000435740021449366,364.684420756,,
"Ohio","White","Yes",0.85,0.885777058279371,0.836971892721635,793310.074533441,0.848846325372581,1.04350697152465
"Oklahoma","American Indian or Alaska Native","Yes",0.06,0.0618556701030928,0.0665236121395868,46548.602196364,0.0702904636552421,0.880000883284538
"Oklahoma","Asian","Yes",0.03,0.0309278350515464,0.0202708733971117,14461.045523458,0.0214186969701815,1.44396435948477
"Oklahoma","Black","Yes",0.05,0.0475691190253046,0.0608876250627916,42635.719659372,0.064335342878703,0.739393261880811
"Oklahoma","Hispanic","Yes",0.07,0.07,0.0728061238122051,54002.967159772,0.0769287180161328,0.909933270762684
"Oklahoma","Native Hawaiian or Other Pacific Islander","Yes",,,0.00096066474901336,741.061362778,,
"Oklahoma","White","Yes",0.83,0.789647375820056,0.725921970902487,486397.955734004,0.767026778479741,1.02949127458777
"Oregon","American Indian or Alaska Native","",0.02,0.0210526315789474,0.00899771185749057,3393.92929292929,0.00922766364098511,2.2814693294022
"Oregon","Asian","",0.04,0.0421052631578947,0.0421233872759273,17207.3838383838,0.0431999218643146,0.97466063226091
"Oregon","Black","",0.02,0.0210526315789474,0.0139738154601238,5819.22222222222,0.0143309400089171,1.46903354321823
"Oregon","Hispanic","",0.06,0.0631578947368421,0.0840512537934917,38285.1919191919,0.0861993261057514,0.732695922232136
"Oregon","Native Hawaiian or Other Pacific Islander","",0.01,0.0105263157894737,0.00218302351473378,915.767676767677,0.00223881438229814,4.70173671953476
"Oregon","White","",0.8,0.842105263157895,0.823750980887237,282624.787878788,0.844803333997734,0.996806273447015
"Pennsylvania","American Indian or Alaska Native","Yes",0.000194366,0.000216183526656217,0.00124684009185123,915.432618166,0.00126042778345129,0.171515995993253
"Pennsylvania","Asian","Yes",0.012634223,0.0140524108367775,0.0292389838436586,21624.475825382,0.0295576215725569,0.475424276012269
"Pennsylvania","Black","Yes",0.062578936,0.0668605969003159,0.0859179818664003,62653.207877858,0.0868542904180181,0.769801889791797
"Pennsylvania","Hispanic","Yes",0.038774116,0.038774116,0.0480048609573681,35999.525577786,0.0485280036203731,0.799004968416253
"Pennsylvania","Native Hawaiian or Other Pacific Islander","Yes",0.001593065,0.00177188608034629,0.000114721876175355,91.398117056,0.000115972080979835,15.2785572646091
"Pennsylvania","White","Yes",0.822078091,0.878324806655904,0.824696389142807,582387.991227285,0.833683684524621,1.05354683432091
"Rhode Island","American Indian or Alaska Native","",,,0.00262107100090705,351.888588317804,,
"Rhode Island","Asian","",0.02,0.0212765957446809,0.0292109452760322,4088.57849914838,0.0299243522483921,0.711012741999256
"Rhode Island","Black","",0.03,0.0319148936170213,0.0465247102126383,6241.34154894299,0.0476609641865881,0.669623331413891
"Rhode Island","Hispanic","",0.09,0.0957446808510638,0.108115067488011,15184.2445646729,0.110755517573904,0.864468723078975
"Rhode Island","Native Hawaiian or Other Pacific Islander","",,,0.000134752757431541,19.5371205290051,,
"Rhode Island","White","",0.8,0.851063829787234,0.792308928987105,96850.0360685302,0.811659165991116,1.04854828904446
"South Carolina","American Indian or Alaska Native","Yes",,,0.00351182453424541,2722.829306143,,
"South Carolina","Asian","Yes",,,0.0136620501683172,10134.32070337,,
"South Carolina","Black","Yes",0.17,0.200722891566265,0.232467925492784,177439.861036086,0.238970327261166,0.839949017381138
"South Carolina","Hispanic","Yes",0.02,0.02,0.0334488165728726,23631.948447697,0.0343844193816157,0.58165879662035
"South Carolina","Native Hawaiian or Other Pacific Islander","Yes",,,0.000754862712794782,486.205941269,,
"South Carolina","White","Yes",0.66,0.779277108433735,0.706873177741938,560464.21301141,0.726645253357219,1.07243129275716
"South Dakota","American Indian or Alaska Native","",,,0.0577817586406673,5680.544840158,,
"South Dakota","Asian","",,,0.0115406889291055,1152.579990522,,
"South Dakota","Black","",,,0.0167016101710177,1631.31565892,,
"South Dakota","Hispanic","",,,0.0258362734590887,2367.83488427,,
"South Dakota","Native Hawaiian or Other Pacific Islander","",,,0.000524338580601747,56.009973525,,
"South Dakota","White","",,,0.874484094883492,83232.639035547,,
"Tennessee","American Indian or Alaska Native","Yes",,,0.00231021340923038,1868.518,,
"Tennessee","Asian","Yes",0.02,0.0227272727272727,0.0157745040916366,11872.3832,0.0159957559641145,1.42083142417651
"Tennessee","Black","Yes",0.11,0.121162790697674,0.14201426431639,105554.2456,0.144006144486825,0.841372367335056
"Tennessee","Hispanic","Yes",0.03,0.03,0.0317892221784254,25343.1261,0.0322350951447472,0.930662678837746
"Tennessee","Native Hawaiian or Other Pacific Islander","Yes",,,0.000258252736115083,170.9038,,
"Tennessee","White","Yes",0.75,0.826109936575053,0.796590098438269,551147.2509,0.807763004404313,1.02271326127924
"Texas","American Indian or Alaska Native","",,,0.00325970398839756,17940.355094734,,
"Texas","Asian","",0.07,0.0769230769230769,0.0483852162972834,278181.26237998,0.0491210645936531,1.56598961279467
"Texas","Black","",0.08,0.0879120879120879,0.117939200686792,664616.34542799,0.119732834497735,0.734235419055005
"Texas","Hispanic","",0.28,0.307692307692308,0.318478729931256,1884658.31000454,0.323322193467929,0.951658481566092
"Texas","Native Hawaiian or Other Pacific Islander","",,,0.000722406182044664,4158.630722544,,
